Link,Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
https://app.thestorygraph.com/books/605e790a-ad77-4155-8031-7ccf62560f7a,The Gentleman's Guide to Vice and Virtue,Mackenzi Lee,,9.78E+12,paperback,read,3/21/2023,3/22/2023,2023/03/21-2023/03/22,1,"adventurous, emotional, funny, hopeful",medium,A mix,Yes,It's complicated,Yes,Yes,3.5,,,,,Yes
https://app.thestorygraph.com/books/00667e27-3c11-45d7-aa9f-f032bd75cc14,The Remarkable Journey of Coyote Sunrise,Dan Gemeinhart,,9.78E+12,hardcover,to-read,7/13/2020,,,0,,,,,,,,,,,,,No
https://app.thestorygraph.com/books/016272b6-6f68-419f-8799-dbc48ce54a02,Guardians of Dawn: Zhara,S. Jae-Jones,,9.78E+12,hardcover,read,8/22/2023,8/24/2023,2023/08/21-2023/08/24,1,"adventurous, emotional, mysterious",medium,A mix,Yes,Yes,Yes,Yes,3.75,,,,,Yes
https://app.thestorygraph.com/books/017b363f-6965-461e-b560-2e22ebfc394c,"Roses, in the Mouth of a Lion",Bushra Rehman,,9.78E+12,hardcover,to-read,12/27/2023,,,0,,,,,,,,,,,,,No
https://app.thestorygraph.com/books/01d58abd-c11d-4264-b0b6-96dfc34f51aa,Ariadne,Jennifer Saint,,9.78E+12,hardcover,read,12/6/2022,12/12/2022,2022/12/10-2022/12/12,1,"dark, emotional, sad, tense",medium,Character,It's complicated,Yes,No,N/A,4,,,,,Yes
https://app.thestorygraph.com/books/01f46f24-c506-4ae6-8b7c-b0126b9e9172,Dear Martin,Nic Stone,,9.78E+12,paperback,read,6/5/2020,6/17/2020,6/17/2020,1,,,,,,,,5,,,,,No
https://app.thestorygraph.com/books/02425cf3-5d09-49ef-a0f7-0e0857ccfcbb,Youngblood,Sasha Laurens,,9.78E+12,hardcover,read,6/30/2022,7/17/2022,2022/07/16-2022/07/17,1,"adventurous, mysterious",medium,A mix,Yes,Yes,It's complicated,Yes,4,,,,,Yes
https://app.thestorygraph.com/books/02a023c9-9cfa-42ed-abfb-f3d526425f55,The Astonishing Color of After,Emily X.R. Pan,,9.78E+12,hardcover,read,3/4/2018,9/12/2018,9/12/2018,1,,,,,,,,5,,,,,Yes
https://app.thestorygraph.com/books/02a023c9-9cfa-42ed-abfb-f3d526425f55,This Wicked Fate,Kalynn Bayron,,9.78E+12,hardcover,read,12/9/2022,12/10/2022,2022/12/08-2022/12/10,1,"adventurous, emotional",medium,A mix,It's complicated,Yes,Yes,N/A,3.5,,,,,No
https://app.thestorygraph.com/books/402af307-7b60-4936-88af-93fc718e04c0,Hold Still,Nina LaCour,,9.78E+12,paperback,read,2/7/2022,2/4/2022,2/4/2022,1,"challenging, emotional, hopeful, inspiring, reflective, sad",medium,Character,Yes,Yes,Yes,Yes,4.5,,Graphic: Suicide; ,,,Yes
https://app.thestorygraph.com/books/03005dab-3d32-4f9c-ad52-5fc6fd8f4d54,A World Between,Emily Hashimoto,,9.78E+12,paperback,read,4/9/2022,11/11/2023,2023/11/09-2023/11/11,1,"challenging, emotional, hopeful, reflective",slow,Character,Yes,Yes,Yes,Yes,4,,,,,Yes
https://app.thestorygraph.com/books/034b147f-4217-4f01-a02d-49d18d9e526d,High Times in the Low Parliament,Kelly Robson,,9.78E+12,paperback,to-read,12/27/2023,,,0,,,,,,,,,,,,,No
https://app.thestorygraph.com/books/04f295bc-07e5-4acf-b374-8da1b5dd03e1,The Witch King,H.E. Edgmon,,9.78E+12,hardcover,read,6/16/2022,6/16/2022,2022/06/15-2022/06/16,1,"adventurous, challenging, mysterious",medium,A mix,Yes,Yes,Yes,Yes,4,,,,,No
https://app.thestorygraph.com/books/057b93fc-3bc4-47ea-a327-61bb13b67c3a,Sasha Masha,Agnes Borinsky,,9.78E+12,hardcover,to-read,12/27/2023,,,0,,,,,,,,,,,,,No
https://app.thestorygraph.com/books/8346a3de-484c-4a74-975e-83a0fd7cecad,A Man Called Ove,Fredrik Backman,Henning Koch (Translator),9.78E+12,paperback,read,12/15/2023,12/16/2023,2023/12/15-2023/12/16,1,"emotional, funny, hopeful, sad",medium,Character,Yes,Yes,Yes,Yes,4,,,,,Yes
https://app.thestorygraph.com/books/d551c2d8-15d8-4689-b0d9-14066c26f278,Hollow Kingdom,Kira Jane Buxton,,,paperback,read,8/20/2023,8/21/2023,2023/08/19-2023/08/21,1,"adventurous, emotional, funny, reflective",,A mix,Yes,Yes,N/A,Yes,3.75,,,,,Yes
https://app.thestorygraph.com/books/07589a64-8893-4be1-ad01-201020548760,Celestial Monsters,Aiden Thomas,,9.78E+12,hardcover,to-read,9/29/2022,,,0,,,,,,,,,,,,,No
https://app.thestorygraph.com/books/07d5bfa4-a79b-45d1-b662-d178f82a6128,To Break a Covenant,Alison Ames,,9.78E+12,hardcover,read,9/3/2022,9/5/2022,2022/09/03-2022/09/05,1,"dark, mysterious, tense",medium,Plot,No,Yes,Yes,It's complicated,3.5,,,,,No
https://app.thestorygraph.com/books/07e304c4-fc66-4bc4-980a-0e59105ff158,The Hand on the Wall,Maureen Johnson,,9.78E+12,hardcover,read,2/15/2022,2/14/2022,2/14/2022,1,"adventurous, dark, mysterious, tense",fast,A mix,Yes,Yes,No,It's complicated,4.25,,,,,No
https://app.thestorygraph.com/books/398d533c-59ed-4e4e-8656-164314b12c14,Eleanor Oliphant Is Completely Fine,Gail Honeyman,,9.78E+12,paperback,to-read,1/1/2024,,,0,,,,,,,,,,,,,No
https://app.thestorygraph.com/books/0835d6c3-3038-47ea-a3b5-566441d46330,The Ship of the Dead,Rick Riordan,,9.78E+12,hardcover,read,12/17/2022,12/18/2022,2022/12/16-2022/12/18,1,"adventurous, emotional, mysterious",medium,A mix,Yes,Yes,Yes,Yes,4.5,,,,,No
https://app.thestorygraph.com/books/0985db4e-fba7-482c-ae04-a918e1a15ef1,I'm the Girl,Courtney Summers,,9.78E+12,hardcover,read,5/26/2023,5/27/2023,2023/05/25-2023/05/27,1,"challenging, dark, emotional, reflective",slow,A mix,Yes,It's complicated,No,Yes,3.5,,,,,Yes
https://app.thestorygraph.com/books/0b81e260-cd91-4bb1-949b-8cfc170c1be6,A List of Things That Didn't Kill Me,Jason Schmidt,,,,read,4/8/2017,,,1,,,,,,,,4,,,,,No
https://app.thestorygraph.com/books/0a5601d7-830b-4d68-929c-560de485ec54,The Scorpio Races,Maggie Stiefvater,,9.78E+12,hardcover,read,5/11/2022,5/11/2022,2022/05/10-2022/05/11,1,"adventurous, mysterious, tense",medium,Plot,Yes,Yes,No,It's complicated,4,,,,,Yes
https://app.thestorygraph.com/books/0af396ee-b4ca-4893-9908-f9c7a5d0ee00,The Hunting Moon,Susan Dennard,,9.78E+12,hardcover,to-read,4/11/2023,,,0,,,,,,,,,,,,,No
https://app.thestorygraph.com/books/0b3f8fbc-f070-4e12-8ff0-3319fe7df38d,An Arrow to the Moon,Emily X.R. Pan,,9.78E+12,hardcover,read,8/12/2022,8/13/2022,2022/08/11-2022/08/13,1,"emotional, mysterious, sad",medium,Character,Yes,Yes,It's complicated,Yes,4,,,,,Yes
https://app.thestorygraph.com/books/0c0053b9-c2b8-44ac-95fd-d9000af01c65,A Bright Heart,Kate Chenli,,9.78E+12,hardcover,read,11/9/2023,11/9/2023,2023/11/08-2023/11/09,1,"adventurous, emotional, mysterious",medium,A mix,It's complicated,Yes,Yes,No,4.5,,,,,Yes
https://app.thestorygraph.com/books/0c3a9c62-b324-4ac2-805a-6b24395da14d,Matched,Ally Condie,,9.78E+12,hardcover,read,4/8/2017,,,1,,,,,,,,3,,,,,No
https://app.thestorygraph.com/books/0cb8b072-ffd6-41c1-bc4a-964fa44ef73d,Rust in the Root,Justina Ireland,,9.78E+12,hardcover,to-read,2/2/2024,,,0,,,,,,,,,,,,,No
https://app.thestorygraph.com/books/82385c10-1ff4-463a-a058-4680d2c63731,Everything I Never Told You,Celeste Ng,,9.78E+12,paperback,read,2/24/2023,2/25/2023,2023/02/23-2023/02/25,1,"emotional, hopeful, reflective, sad",medium,Character,Yes,It's complicated,Yes,Yes,4,,,,,Yes
https://app.thestorygraph.com/books/0d88ae43-1f5a-4740-a40e-25df98bf7580,Warrior Girl Unearthed,Angeline Boulley,,9.78E+12,hardcover,read,7/2/2023,7/3/2023,2023/07/01-2023/07/03,1,"adventurous, challenging, emotional, mysterious",medium,A mix,Yes,Yes,Yes,Yes,4.25,,,,,Yes
https://app.thestorygraph.com/books/0ed99a1f-21d2-4551-982a-1bd167b34cbf,Pageboy,Elliot Page,,9.78E+12,hardcover,read,5/10/2023,6/9/2023,2023/06/08-2023/06/09,1,"challenging, emotional, hopeful, reflective, sad",medium,,,,,,4.5,,,,,Yes
https://app.thestorygraph.com/books/0f59934e-a179-4e15-af11-2d787114069f,A Scatter of Light,Malinda Lo,,9.78E+12,hardcover,read,12/14/2022,12/15/2022,2022/12/13-2022/12/15,1,"emotional, hopeful, reflective, sad",medium,Character,Yes,Yes,Yes,Yes,5,,,,,No
https://app.thestorygraph.com/books/0f94b7a8-15f4-4088-a4bc-81473c5857ff,The Dark Tide,Alicia Jasinska,,9.78E+12,hardcover,read,12/13/2022,12/13/2022,2022/12/12-2022/12/13,1,"adventurous, emotional, mysterious",medium,Character,It's complicated,Yes,Yes,Yes,3.5,,,,,No
https://app.thestorygraph.com/books/0ff820df-b3de-40d4-a237-b61d8942869d,Severance,Ling Ma,,9.78E+12,hardcover,read,7/9/2023,7/10/2023,2023/07/09-2023/07/10,1,"challenging, dark, emotional, mysterious, reflective",medium,A mix,It's complicated,Yes,Yes,Yes,5,,,,,Yes
https://app.thestorygraph.com/books/f17920fc-2079-4199-bb70-67aed3571715,The Hate U Give,Angie Thomas,,,paperback,read,12/5/2017,1/17/2019,1/17/2019,1,,,,,,,,5,,,,,Yes
https://app.thestorygraph.com/books/11a59c37-45cd-45df-b415-bad0f3e831c6,Redemptor,Jordan Ifueko,,9.78E+12,hardcover,read,5/1/2022,7/6/2022,2022/07/05-2022/07/06,1,"adventurous, challenging, hopeful, inspiring, reflective",medium,A mix,Yes,Yes,Yes,Yes,5,,,,,No
https://app.thestorygraph.com/books/11dc76af-2276-4387-aef3-ccdfe5d4aa18,Self-Made Boys: A Great Gatsby Remix,Anna-Marie McLemore,,9.78E+12,hardcover,read,12/24/2022,12/24/2022,2022/12/23-2022/12/24,1,"emotional, hopeful",medium,Character,Yes,Yes,Yes,Yes,5,,,,,Yes
https://app.thestorygraph.com/books/12a6da66-e781-4444-bec5-758662689595,Silver Under Nightfall,Rin Chupeco,,9.78E+12,hardcover,read,12/10/2023,12/12/2023,2023/12/09-2023/12/12,1,"adventurous, dark, emotional, funny, mysterious",medium,A mix,Yes,Yes,Yes,Yes,5,"<div>This book has been on my TBR for YEARS and HOLY MOLY, it didn't disappoint. This was beautifully written and paced and is probably my favorite romance of 2023 or maybe also all time? Not to even mention the fun worldbuilding details that this story is chock full of. Highly, highly recommend.</div>",,,,Yes
https://app.thestorygraph.com/books/1324ae3b-bac3-4906-9a05-aae9ac8b188b,Juniper & Thorn,Ava Reid,,9.78E+12,hardcover,read,4/13/2023,4/16/2023,2023/04/13-2023/04/16,1,"adventurous, challenging, dark, emotional, mysterious",medium,A mix,Yes,Yes,No,Yes,4,,,,,Yes
https://app.thestorygraph.com/books/132d3523-6657-4ef4-b8b1-64a291259539,The Magic Fish,Trung Le Nguyen,,9.78E+12,paperback,read,3/9/2022,3/8/2022,3/8/2022,1,"challenging, dark, emotional, hopeful, reflective",fast,Character,Yes,Yes,Yes,Yes,5,,,,,No
https://app.thestorygraph.com/books/14a91e53-3e3e-4484-a91e-a308e88de593,Turtle Under Ice,Juleah del Rosario,,9.78E+12,hardcover,read,3/9/2020,3/26/2020,3/26/2020,1,,,,,,,,4,,,,,No
https://app.thestorygraph.com/books/150fac1b-8053-4d22-aa9b-9e9ae26d8ded,Food Justice,"Robert Gottlieb, Anupama Joshi",,,,to-read,12/27/2023,,,0,,,,,,,,,,,,,Yes
https://app.thestorygraph.com/books/67d0b7ee-462b-4ca8-9910-884ed588674e,The School for Good Mothers,Jessamine Chan,,9.78E+12,paperback,read,9/4/2023,9/7/2023,2023/09/04-2023/09/07,1,"challenging, dark, emotional, sad",medium,Character,It's complicated,Yes,Yes,Yes,5,,,,,Yes
https://app.thestorygraph.com/books/152acec6-0bd1-47c3-bed7-f32bd2c9587e,Where You See Yourself,Claire Forrest,,9.78E+12,hardcover,to-read,1/30/2024,,,0,,,,,,,,,,,,,No
https://app.thestorygraph.com/books/4debd23a-31bc-41e1-a916-8be2c6a61cfe,A Magical Girl Retires: A Novel,Park Seolyeon,Anton Hur (Translator),9.78E+12,hardcover,to-read,1/31/2024,,,0,,,,,,,,,,,,,No
https://app.thestorygraph.com/books/4debd23a-31bc-41e1-a916-8be2c6a61cfe,The Mark of Athena,Rick Riordan,,9.78E+12,hardcover,read,6/29/2022,6/30/2022,2022/06/28-2022/06/30,1,"adventurous, emotional, mysterious",medium,A mix,Yes,Yes,Yes,Yes,5,,,,,Yes
https://app.thestorygraph.com/books/15d2f806-109c-44ea-a1cc-a6b7e9e47503,The Priory of the Orange Tree,Samantha Shannon,,9.78E+12,hardcover,to-read,6/7/2023,,,0,,,,,,,,,,,,,No
https://app.thestorygraph.com/books/165c22cd-7cd8-458b-b992-a630b3d457ce,The Inheritance of Orquídea Divina,Zoraida Córdova,,9.78E+12,hardcover,read,6/2/2022,6/2/2022,2022/06/01-2022/06/02,1,"adventurous, mysterious, reflective, tense",medium,A mix,Yes,Yes,Yes,Yes,4,,,,,Yes
https://app.thestorygraph.com/books/16f46d92-0f45-4573-a5d1-34131e5bf1ca,The City We Became,N.K. Jemisin,,9.78E+12,hardcover,to-read,8/22/2023,,,0,,,,,,,,,,,,,No
https://app.thestorygraph.com/books/174058c5-f1d1-43e2-ae17-6534b226bee9,The Chalice of the Gods,Rick Riordan,,9.78E+12,hardcover,read,5/10/2023,9/26/2023,2023/09/26-2023/09/26,1,"adventurous, emotional, lighthearted, mysterious",medium,A mix,Yes,Yes,Yes,Yes,4.5,,,,,Yes
https://app.thestorygraph.com/books/1741a404-d797-4ec2-bbe0-2679149cd9cb,"Eva Evergreen, Semi-Magical Witch",Julie Abe,,9.78E+12,hardcover,read,12/17/2023,12/17/2023,2023/12/16-2023/12/17,1,"emotional, funny, hopeful, lighthearted, mysterious, tense",medium,A mix,Yes,Yes,Yes,Yes,5,,,,,Yes
https://app.thestorygraph.com/books/175e0109-7e9f-46a0-9137-19c947834f33,Dolls of Our Lives: Why We Can't Quit American Girl,"Allison Horrocks, Mary Mahoney",,9.78E+12,hardcover,to-read,1/7/2024,,,0,,,,,,,,,,,,,No
https://app.thestorygraph.com/books/17c2fb21-f0ef-49a7-a4ec-3762e7593025,Turtles All the Way Down,John Green,,9.78E+12,hardcover,read,10/26/2017,3/25/2018,3/25/2018,1,,,,,,,,4,,,,,No
https://app.thestorygraph.com/books/18bf6579-a03a-4445-acda-58eba1429fd6,Against the Loveless World,Susan Abulhawa,,9.78E+12,hardcover,to-read,1/31/2024,,,0,,,,,,,,,,,,,No
https://app.thestorygraph.com/books/190eee2a-bead-409d-9e08-a21af1beeeed,An Enchantment of Ravens,Margaret Rogerson,,9.78E+12,hardcover,read,1/17/2019,8/3/2022,2022/08/01-2022/08/03,1,"adventurous, emotional, mysterious",medium,A mix,Yes,Yes,No,N/A,3.5,,,,,Yes
https://app.thestorygraph.com/books/b28b6cb4-1471-4318-a564-1ad53b787a61,The Girl with the Louding Voice,Abi Daré,,9.78E+12,paperback,to-read,1/25/2024,,,0,,,,,,,,,,,,,No
https://app.thestorygraph.com/books/474a66b2-b98b-4c5b-a5f7-cb5594574515,Sorcery of Thorns,Margaret Rogerson,,9.78E+12,paperback,to-read,1/24/2024,,,0,,,,,,,,,,,,,No
https://app.thestorygraph.com/books/1d671aaa-3280-4674-a735-3d2de81c5c53,Everything Leads to You,Nina LaCour,,9.78E+12,hardcover,read,4/7/2018,,,1,,,,,,,,4,,,,,Yes
https://app.thestorygraph.com/books/1e424d0d-294b-492e-ab7f-81dd9b9d9d77,Lovely War,Julie Berry,,9.78E+12,hardcover,to-read,2/26/2019,,,0,,,,,,,,,,,,,No
https://app.thestorygraph.com/books/e5d7dfe4-6ee6-4c8c-a49c-f85c670bde52,Skyward,Brandon Sanderson,,9.78E+12,paperback,read,12/4/2023,12/5/2023,2023/12/03-2023/12/05,1,"adventurous, challenging, dark, emotional, funny, mysterious",medium,A mix,Yes,Yes,Yes,Yes,5,,,,,No
https://app.thestorygraph.com/books/2001334a-5903-449d-9298-25f1e7385c74,Like a Love Story,Abdi Nazemian,,9.78E+12,hardcover,to-read,3/16/2019,,,0,,,,,,,,,,,,,No
https://app.thestorygraph.com/books/20090595-ad19-4f61-a464-d17eb70b9645,Radio Apocalypse,Kayleigh Gallagher,,9.78E+12,paperback,read,9/15/2022,9/19/2022,2022/09/14-2022/09/19,1,"adventurous, mysterious",slow,Character,It's complicated,It's complicated,Yes,No,3,,,,,No
https://app.thestorygraph.com/books/2015a253-3576-48b3-a43a-3c4cf6ce144f,The Other Black Girl,Zakiya Dalila Harris,,9.78E+12,hardcover,read,7/8/2022,7/8/2022,7/8/2022,1,"challenging, dark, mysterious",slow,A mix,It's complicated,Yes,Yes,It's complicated,4.5,,,,,No
https://app.thestorygraph.com/books/555a8081-55f8-4370-8b31-b2b49bf6438b,Wizard's First Rule,Terry Goodkind,,,,read,4/8/2017,8/3/2017,8/3/2017,1,,,,,,,,3,,,,,No
https://app.thestorygraph.com/books/2277b67b-37d6-4907-99b2-aecb16d1df6a,So You Want to Talk About Race,Ijeoma Oluo,,9.78E+12,hardcover,read,6/4/2020,9/4/2020,9/4/2020,1,,,,,,,,5,,,,,No
https://app.thestorygraph.com/books/2296b82b-1a3e-4aea-89a8-ccf79d1e866d,Cult Classic,Sloane Crosley,,9.78E+12,hardcover,read,8/22/2023,10/4/2023,2023/09/30-2023/10/04,1,"emotional, reflective",slow,Character,No,No,No,Yes,2,,,,,Yes
https://app.thestorygraph.com/books/242d7eac-3c18-4d64-8e38-df44a85b61ed,Radio Silence,Alice Oseman,,,paperback,read,11/11/2018,11/22/2018,11/22/2018,1,,,,,,,,5,,,,,No
https://app.thestorygraph.com/books/24706be7-bfc7-4bd7-b09a-ea9123689833,The Agathas,"Liz Lawson, Kathleen Glasgow",,9.78E+12,hardcover,read,6/5/2022,6/5/2022,2022/06/05-2022/06/05,1,"adventurous, mysterious",medium,A mix,It's complicated,It's complicated,No,Yes,4,,,,,Yes
https://app.thestorygraph.com/books/2470e82c-8bdd-4071-b3a4-05f243d72b04,The Woman in Me,Britney Spears,,9.78E+12,hardcover,to-read,12/22/2023,,,0,,,,,,,,,,,,,No
https://app.thestorygraph.com/books/26082341-b1f0-487d-b1c6-45d152b5ddc5,Starling House,Alix E. Harrow,,9.78E+12,hardcover,read,10/21/2023,10/21/2023,2023/10/20-2023/10/21,1,"adventurous, challenging, emotional, mysterious, tense",medium,A mix,Yes,Yes,No,Yes,3.5,,,,,Yes
https://app.thestorygraph.com/books/260bc2fd-27e9-4247-a202-96d22bf6331d,Ocean's Echo,Everina Maxwell,,9.78E+12,hardcover,read,12/30/2022,1/1/2023,2022/12/30-2023/01/01,1,"adventurous, emotional, mysterious",medium,A mix,Yes,Yes,Yes,Yes,4.75,,,,,Yes
https://app.thestorygraph.com/books/8fec8988-615d-4ae0-838b-374f39202aaa,Piper Perish,Kayla Cagan,,,,to-read,8/26/2017,,,0,,,,,,,,,,,,,No
https://app.thestorygraph.com/books/26293267-7bd2-4d27-90af-8665e5566a46,"Blue Lily, Lily Blue",Maggie Stiefvater,,9.78E+12,hardcover,read,8/11/2020,8/14/2020,8/14/2020,1,,,,,,,,4,,,,,Yes
https://app.thestorygraph.com/books/7aec1ac3-81f8-4d11-9166-a539d94153e1,Holding Up the Universe,Jennifer Niven,,,,read,4/8/2017,,,1,,,,,,,,3,,,,,Yes
https://app.thestorygraph.com/books/263c8de4-bf80-4717-98dd-72b00e8ac8a7,Devil House,John Darnielle,,9.78E+12,hardcover,read,4/16/2023,4/18/2023,2023/04/16-2023/04/18,1,"challenging, dark, emotional, mysterious",slow,A mix,It's complicated,It's complicated,No,Yes,3,,,,,No
https://app.thestorygraph.com/books/06417acf-d6cf-4df3-b0c6-0be8c21fcec3,The Fire Never Goes Out: A Memoir in Pictures,ND Stevenson,,9.78E+12,digital,read,2/26/2020,5/19/2022,5/19/2022,1,"challenging, emotional, reflective",medium,,,,,,4.5,,,,,No
https://app.thestorygraph.com/books/2683beb4-5a82-4edc-9f24-3582f42a16d0,Wolfwood,Marianna Baer,,9.78E+12,hardcover,read,5/9/2023,5/9/2023,2023/05/08-2023/05/09,1,"challenging, dark, emotional, mysterious, reflective",medium,A mix,Yes,Yes,Yes,Yes,5,,,,,No
https://app.thestorygraph.com/books/27829f9b-6fbb-447e-8cfd-ffa304f73a62,Primal Animals,Julia Lynn Rubin,,9.78E+12,hardcover,read,9/22/2022,9/21/2022,2022/09/21-2022/09/21,1,"dark, mysterious",medium,A mix,Yes,It's complicated,Yes,Yes,3.5,,,,,No
https://app.thestorygraph.com/books/28386517-30cc-4ce4-bb90-9336c370a9dd,One Last Stop,Casey McQuiston,,9.78E+12,paperback,read,1/24/2020,3/30/2022,2022/03/29-2022/03/30,1,"adventurous, emotional, funny",medium,A mix,Yes,Yes,Yes,Yes,5,,,,,No
https://app.thestorygraph.com/books/28707a5a-44ce-4c5f-a042-b742b392c3b0,Your Life Has Been Delayed,Michelle I. Mason,,9.78E+12,hardcover,read,8/24/2022,8/24/2022,2022/08/24-2022/08/24,1,"emotional, funny, lighthearted, reflective",medium,A mix,Yes,Yes,No,Yes,3.75,,,,,No
https://app.thestorygraph.com/books/7779521f-1bb8-459a-bb82-bf8882177108,All About Love: New Visions,bell hooks,,9.78E+12,paperback,read,9/19/2023,9/19/2023,2023/09/19-2023/09/19,1,"hopeful, informative, inspiring, reflective",slow,,,,,,4,,,,,No
https://app.thestorygraph.com/books/7779521f-1bb8-459a-bb82-bf8882177108,XOXO,Axie Oh,,9.78E+12,digital,read,5/13/2022,5/13/2022,2022/05/12-2022/05/13,1,"adventurous, funny",medium,Character,Yes,Yes,Yes,N/A,3.75,,,,,No
https://app.thestorygraph.com/books/2891c3f4-81d6-43d1-b892-4d30ac56d41e,Winter's Orbit,Everina Maxwell,,9.78E+12,hardcover,read,11/26/2022,11/27/2022,2022/11/25-2022/11/27,1,"adventurous, challenging, emotional, mysterious",medium,A mix,Yes,Yes,Yes,Yes,4,,,,,Yes
https://app.thestorygraph.com/books/28a4d1b0-2a64-45a4-bf0d-b7b565272080,A Deadly Education,Naomi Novik,,9.78E+12,hardcover,to-read,6/22/2023,,,0,,,,,,,,,,,,,No
https://app.thestorygraph.com/books/28fdd430-0754-471f-bf62-7a0e201b71a5,Sweet Bean Paste,Durian Sukegawa,Alison Watts (Translator),9.78E+12,paperback,read,11/14/2023,11/13/2023,2023/11/13-2023/11/13,1,"emotional, hopeful, informative, reflective, sad",medium,A mix,Yes,Yes,Yes,Yes,4.5,,,,,Yes
